name,city,country
UIAA Worldcup - Kranj (SLO) 1999,Kranj,SLO
UIAA World Championship - Birmingham (GBR) 1999,Birmingham,GBR
UIAA Youth Worldchampionship - Courmayeur (ITA) 1999,Courmayeur,ITA
European Youth Cup - Imst (AUT) 1999,Imst,AUT
European Youth Cup - Bern (SUI) 1999,Bern,SUI
European Youth Cup - Albertville (FRA) 1999,Albertville,FRA
EuropeanYouth Cup - Amsterdam (NED) 1999,Amsterdam,NED
UIAA Masters - Serre-Chevalier (FRA) 1999,Serre-Chevalier,FRA
Int. Event - Arco Rock Master (ITA) 1999,Arco Rock Master,ITA
Int. Event - Sheffield (GBR) 1999,Sheffield,GBR
UIAA Asian Championship - Kuala Lumpur (MAS) 2000,Kuala Lumpur,MAS
UIAA European Championship - München (GER) 2000,München,GER
UIAA Worldcup - Konitsa (GRE) 2000,Konitsa,GRE
UIAA Worldcup - Millau (FRA) 2000,Millau,FRA
UIAA Worldcup - Chamonix (FRA) 2000,Chamonix,FRA
UIAA Worldcup - Beauregard (ITA) 2000,Beauregard,ITA
UIAA Worldcup - München (GER) 2000,München,GER
UIAA Worldcup - Grenoble (FRA) 2000,Grenoble,FRA
UIAA Worldcup - Rovereto (ITA) 2000,Rovereto,ITA
UIAA Worldcup - Lecco (ITA) 2000,Lecco,ITA
UIAA Worldcup - Courmayeur (ITA) 2000,Courmayeur,ITA
UIAA Worldcup - Nantes (FRA) 2000,Nantes,FRA
UIAA Worldcup - Kranj (SLO) 2000,Kranj,SLO
UIAA Asian Youth Championship - Beijing (CHN) 2000,Beijing,CHN
UIAA World Youth Championship - Amsterdam (NED) 2000,Amsterdam,NED
Pan American Cup - Peru 2000,Peru,
European Youth Cup - Imst (AUT) 2000,Imst,AUT
European Youth Cup - L'Aprica (ITA) 2000,L'Aprica,ITA
European Youth Cup - Kranj (SLO) 2000,Kranj,SLO
Masters - Serre Chevalier (FRA) 2000,Serre Chevalier,FRA
Int. Event - Serre Chevalier (FRA) 2000,Serre Chevalier,FRA
Int. Event - L'Argentiere (FRA) 2000,L'Argentiere,FRA
Int. Event - Rock Master Arco (ITA) 2000,Arco,ITA
1. Int. SALEWA Masters - Scheidegg 2000,Scheidegg,
UIAA Asian Youth Championship - Teheran (IRI) 2001,Teheran,IRI
1st UIAA ASIAN CUP - Kunming (CHN),Kunming,CHN
UIAA Asian Championship - Jakarta (INA) 2001,Jakarta,INA
Asian Bouldering Championship - Taipei (TPE) 2001,Taipei,TPE
UIAA Youth World Championship - Imst(AUT) 2001,Imst,AUT
UIAA Youth World Championship SPEED - Imst (AUT) 2001,Imst,AUT
UIAA Worldcup - GAP (FRA) 2001,GAP,FRA
UIAA Worldcup - Chamonix (FRA) 2001,Chamonix,FRA
UIAA Worldcup - Munich (GER ) 2001,Munich,GER
UIAA Worldcup - Rovereto (ITA) 2001,Rovereto,ITA
UIAA World Championship - Winterthur (SUI) 2001,Winterthur,SUI
UIAA Worldcup - Lecco (ITA) 2001,Lecco,ITA
UIAA Worldcup - Aprica (ITA) 2001,Aprica,ITA
UIAA Worldcup - Kuala Lumpur (MAS) 2001,Kuala Lumpur,MAS
UIAA Worldcup - Kranj (SLO) 2001,Kranj,SLO
UIAA Worldcup - Birmingham (GBR) 2001,Birmingham,GBR
North American Youth Championship - Berkeley (USA) 2001,Berkeley,USA
European Youth Cup Speed - Apatity (RUS) 2001,Apatity,RUS
European Youth Cup - Apatity (RUS) 2001,Apatity,RUS
European Youth Cup - Trieste (ITA) 2001,Trieste,ITA
European Youth Cup - Imst (AUT) 2001,Imst,AUT
European Youth Cup - Arco (ITA) 2001,Arco,ITA
European Youth Cup - Aprica (ITA) 2001,Aprica,ITA
European Youth Cup - Birmingham (GBR) 2001,Birmingham,GBR
UIAA Asian Championship - Toyama (JPN) 2002,Toyama,JPN
Reg. Event - Nordic Championship - Malmö (SWE) 2001,Malmö,SWE
Int. Event - Fontainebleau (FRA) 2001,Fontainebleau,FRA
Reg. Event - Alpe Adria Cup - Trieste (ITA) 2001,Trieste,ITA
Int. Event - Lake Placid (USA) 2001,Lake Placid,USA
Int. Event - Hood River (USA) 2001,Hood River,USA
Int. Event - Serre Chevalier (FRA) 2001,Serre Chevalier,FRA
Int. Event - L'Argentiere (FRA) 2001,L'Argentiere,FRA
Int. Event - Rock Master Arco (ITA) 2001,Arco,ITA
Int. Event - Blocmaster Grenoble (FRA) 2001,Blocmaster Grenoble,FRA
2. Int. SALEWA Masters - Scheidegg (GER) 2001,Scheidegg,GER
Int. Event - Master WARSAW (POL) 2001,Warsaw,POL
UIAA Youth World Championship Speed - Canteleu (FRA) 2002,Canteleu,FRA
UIAA World Youth Championship - Canteleu (FRA) 2002,Canteleu,FRA
UIAA Worldcup - Bolzano (ITA) 2002,Bolzano,ITA
UIAA Worldcup - Yekaterinburg (RUS) 2002 - Red Cards withdrawn,Yekaterinburg,RUS
2. UIAA Worldcup - Yekaterinburg (RUS) 2002,Yekaterinburg,RUS
3. UIAA Worldcup - Yekaterinburg (RUS) 2002,Yekaterinburg,RUS
UIAA Worldcup - Imst (AUT) 2002,Imst,AUT
UIAA Worldcup - Fiera di Primiero (ITA) 2002,Fiera di Primiero,ITA
UIAA Worldcup - Lecco (ITA) 2002 - speed,Lecco,ITA
UIAA Worldcup - Lecco (ITA) 2002 - boulder,Lecco,ITA
UIAA Worldcup - Lecco (ITA) 2002 - difficulty,Lecco,ITA
UIAA Worldcup - Singapore (SIN) 2002,Singapore,SIN
UIAA Worldcup - Rovereto (ITA) 2002,Rovereto,ITA
UIAA Worldcup - Aprica (ITA) 2002,Aprica,ITA
UIAA Worldcup - Kranj (SLO) 2002,Kranj,SLO
Asian Youth Championship - Malaysia 2002,Malaysia,
UIAA European Championship - Chamonix (FRA) 2002,Chamonix,FRA
Latin American Championship,,
UIAA North American Youth Championship 2002,,
European Youth Cup - Imst (AUT) 2002,Imst,AUT
European Youth Cup - Arco (ITA) 2002,Arco,ITA
European Youth Cup - Veliko Tarnovo (BUL) 2002,Veliko Tarnovo,BUL
European Youth Cup - Kranj (SLO) 2002,Kranj,SLO
Int. Event - Marseille International Youth (FRA),Marseille International Youth,FRA
Int. Event - Klimax Goldfinger - Puurs (BEL) 2002,Puurs,BEL
Rock Junior - Arco (ITA) 2002,Arco,ITA
Int. Event - Serre Chevalier (FRA) 2002,Serre Chevalier,FRA
Int. Event - L'Argentière (FRA) 2002,L'Argentière,FRA
Int. Event - Speed Rock - Daone (ITA),Daone,ITA
Int. Event - Arco Rockmaster (ITA) 2002,Arco Rockmaster,ITA
Int. Event - Schengzheng (CHN) 2002,Schengzheng,CHN
Youth Worldchampionship - Veliko Tarnovo (BUL) 2003,Veliko Tarnovo,BUL
UIAA Worldcup - Imst (AUT) 2003,Imst,AUT
UIAA Worldcup - Yekaterinburg (RUS) 2003 (B+S),Yekaterinburg,RUS
UIAA Worldcup - Yekaterinburg (RUS) 2003 (S),Yekaterinburg,RUS
UIAA Worldcup - Yekaterinburg (RUS) 2003 (D+S),Yekaterinburg,RUS
UIAA Worldcup - Fiera di Primiero (ITA) 2003,Fiera di Primiero,ITA
UIAA Worldcup - Lecco (ITA) 2003 (speed),Lecco,ITA
UIAA Worldcup - Lecco (ITA) 2003 (boulder),Lecco,ITA
UIAA Worldcup - Lecco (ITA) 2003 (difficulty),Lecco,ITA
UIAA Worldchampionship - Chamonix (FRA) 2003,Chamonix,FRA
UIAA Worldcup - L'Argentière (FRA) 2003,L'Argentière,FRA
UIAA Worldcup - Val Daone (ITA) 2003,Val Daone,ITA
UIAA Worldcup - Aviles (ESP) 2003,Aviles,ESP
UIAA Worldcup - Rovereto (ITA) 2003,Rovereto,ITA
UIAA Worldcup - Aprica (ITA) 2003,Aprica,ITA
UIAA Worldcup - Prague (CZE) 2003,Prague,CZE
UIAA Worldcup - Valence (FRA) 2003,Valence,FRA
UIAA Worldcup - Kranj (SLO) 2003,Kranj,SLO
UIAA Worldcup - Shenzen (CHN) 2003,Shenzen,CHN
UIAA Worldcup - Edinburgh (GBR) 2003,Edinburgh,GBR
UIAA Asian Championship - Beijing (CHN) 2003,Beijing,CHN
European Youth Cup - Imst (AUT) 2003,Imst,AUT
European Youth Cup - Arco (ITA) 2003,Arco,ITA
European Youth Cup - Niederwangen (SUI) 2003,Niederwangen,SUI
European Youth Cup - Kranj (SLO) 2003,Kranj,SLO
UIAA North American Youth Championship - not confirmed,,
Panamerican Championships - Mexico City (MEX) 2003,Mexico City,MEX
Nordic Championships - Oslo (NOR) 2003,Oslo,NOR
UIAA Asian Championship - Jeolla Nam Do (KOR) 2004,Jeolla Nam Do,KOR
UIAA European Championship - Lecco (ITA) 2004,Lecco,ITA
UIAA Worldcup - Birmingham (GBR) 2004,Birmingham,GBR
UIAA Worldcup - Erlangen (GER) 2004,Erlangen,GER
UIAA Worldcup - Puurs (BEL) 2004,Puurs,BEL
UIAA Worldcup - Imst (AUT) 2004,Imst,AUT
